iter	Logloss
0	0.6726186708
1	0.6536523021
2	0.6377057597
3	0.6239677095
4	0.6087727564
5	0.5921843132
6	0.576888163
7	0.5644644092
8	0.5517164819
9	0.5399688549
10	0.5284613018
11	0.5190000467
12	0.5092472806
13	0.499779798
14	0.4916040886
15	0.4828572104
16	0.4754392108
17	0.4680478664
18	0.4617536271
19	0.4537437868
20	0.4475319766
21	0.4420175398
22	0.4367072798
23	0.4319384653
24	0.427368049
25	0.4227675957
26	0.4178857969
27	0.4132877041
28	0.4091251941
29	0.4051490764
30	0.4008149623
31	0.3972441394
32	0.3935919325
33	0.3911613829
34	0.3878840018
35	0.3854463852
36	0.3825406202
37	0.3796115579
38	0.3761443469
39	0.3738651895
40	0.3714181722
41	0.3686190597
42	0.366020919
43	0.3645333032
44	0.36249733
45	0.3601019947
46	0.3588884766
47	0.3575406066
48	0.3559931672
49	0.3543726942
50	0.3529405722
51	0.3511737905
52	0.3501873391
53	0.3488999515
54	0.3477367559
55	0.3467782497
56	0.3457463055
57	0.3443119127
58	0.3432252795
59	0.3416553223
60	0.340455836
61	0.3388176456
62	0.3375826265
63	0.3360260667
64	0.3350481176
65	0.3342777503
66	0.3331359643
67	0.3317650794
68	0.3305066034
69	0.3298967205
70	0.329090133
71	0.3283491315
72	0.3274999896
73	0.3268139587
74	0.3260571658
75	0.3249786252
76	0.324485236
77	0.3239786595
78	0.3231240683
79	0.3222759361
80	0.322027514
81	0.3215679153
82	0.3208874301
83	0.3202691601
84	0.3196188955
85	0.318916186
86	0.3179351125
87	0.3175538886
88	0.3170666455
89	0.3165078464
90	0.3159563511
91	0.3156101762
92	0.3148998213
93	0.3146619488
94	0.3138843768
95	0.3133482426
96	0.3129109732
97	0.3120896113
98	0.3115909562
99	0.3111088411
100	0.3107275514
101	0.3105739431
102	0.3100801898
103	0.3093645569
104	0.3088845515
105	0.3083704522
106	0.3078262357
107	0.3072953614
108	0.3070280872
109	0.3067033908
110	0.3063521361
111	0.3059394035
112	0.3054845632
113	0.3050812629
114	0.3046029468
115	0.3043249451
116	0.3040268618
117	0.3036084627
118	0.3032210136
119	0.3029435909
120	0.3027869499
121	0.3026366319
122	0.3021176262
123	0.3018889087
124	0.3014900495
125	0.3012068075
126	0.3008298582
127	0.3006581343
128	0.3004782221
129	0.3000914673
130	0.2997677369
131	0.2993796535
132	0.2991611767
133	0.2990589376
134	0.2987849273
135	0.2985284638
136	0.2982884388
137	0.2979819731
138	0.2978665849
139	0.2974680056
140	0.2972329461
141	0.2969267976
142	0.2967329076
143	0.296435254
144	0.2960966195
145	0.2959367383
146	0.2956699646
147	0.2954333284
148	0.2950715377
149	0.2947754962
150	0.2946332092
151	0.2944157485
152	0.2942652079
153	0.2941380677
154	0.2938904361
155	0.2937285572
156	0.2934951225
157	0.2933455315
158	0.29319027
159	0.2928138932
160	0.2926865261
161	0.2925131449
162	0.2923444869
163	0.2921017583
164	0.2919299491
165	0.2917261968
166	0.2915476077
167	0.2912669732
168	0.2911130347
169	0.2909558806
170	0.2908636122
171	0.2906690496
172	0.2905285504
173	0.2902921277
174	0.2901348933
175	0.2899469754
176	0.2897048638
177	0.2895943594
178	0.2893258847
179	0.2891732182
180	0.2890817669
181	0.2889748435
182	0.2886946734
183	0.2885306381
184	0.2883826628
185	0.2882323884
186	0.2880800256
187	0.288000191
188	0.2879004921
189	0.2878160504
190	0.2876677501
191	0.2873817752
192	0.2871818312
193	0.2870354583
194	0.286881961
195	0.2866917656
196	0.2865527529
197	0.2864468806
198	0.2862665409
199	0.2860578159
200	0.2859458902
201	0.2858568065
202	0.2857564481
203	0.2855539973
204	0.2853317157
205	0.285099696
206	0.2849570854
207	0.2847700702
208	0.2847100678
209	0.2845190114
210	0.2843825649
211	0.2842718383
212	0.2840206098
213	0.2838709317
214	0.2836843999
215	0.283527208
216	0.2833924577
217	0.283204828
218	0.2830596392
219	0.2829080235
220	0.2826413048
221	0.2824081949
222	0.2823433125
223	0.2822556063
224	0.2821279486
225	0.2820538391
226	0.2819124192
227	0.2818302267
228	0.2816785974
229	0.2815492555
230	0.2814222202
231	0.2813317695
232	0.2811375282
233	0.281041687
234	0.2808288236
235	0.2807078559
236	0.280513821
237	0.2803472608
238	0.2802405236
239	0.280111003
240	0.2800362276
241	0.2799156849
242	0.2797120847
243	0.2795789349
244	0.2794819394
245	0.279318082
246	0.2792204846
247	0.2791030945
248	0.2789234071
249	0.278705372
250	0.2785888487
251	0.2784765131
252	0.278367815
253	0.2782486307
254	0.2780798465
255	0.2778662884
256	0.277707962
257	0.2775866698
258	0.2774086321
259	0.2772073636
260	0.2771245032
261	0.2770359646
262	0.2768872802
263	0.2768204938
264	0.2766502499
265	0.2765115144
266	0.2763869353
267	0.2762611459
268	0.276257481
269	0.2761697661
270	0.276074329
271	0.2759169299
272	0.2757989655
273	0.2757349279
274	0.275685394
275	0.2755423031
276	0.2754272115
277	0.2752935273
278	0.2751807018
279	0.2750557686
280	0.275012591
281	0.2749502721
282	0.2747227076
283	0.2746295627
284	0.2745160043
285	0.2744529608
286	0.2742801023
287	0.2741669453
288	0.27405006
289	0.2739611182
290	0.2738032768
291	0.2736003201
292	0.2734995628
293	0.2733997625
294	0.273345539
295	0.2732537048
296	0.2730912021
297	0.2729961644
298	0.2728461598
299	0.2727466177
300	0.2726705985
301	0.2725683021
302	0.272397537
303	0.2722905713
304	0.2722325168
305	0.2721060294
306	0.2720128086
307	0.2718383776
308	0.2717265562
309	0.2716186573
310	0.271437991
311	0.2714301849
312	0.2713000064
313	0.2712260594
314	0.2710855795
315	0.270967215
316	0.2708312305
317	0.2707338821
318	0.270632669
319	0.270552341
320	0.2704068724
321	0.2702165859
322	0.2700859864
323	0.2700021749
324	0.269908426
325	0.269814682
326	0.2697524179
327	0.2696265448
328	0.2695147701
329	0.2694205743
330	0.2692636619
331	0.2691148802
332	0.2689659763
333	0.2688221148
334	0.2687076529
335	0.2684732999
336	0.2683928917
337	0.2683039737
338	0.268187385
339	0.2679905284
340	0.2678868174
341	0.2677486205
342	0.2676252078
343	0.2674513384
344	0.2673725792
345	0.2673158708
346	0.2672130846
347	0.267055113
348	0.2668965041
349	0.2668313015
350	0.2667511495
351	0.2666223361
352	0.2664760363
353	0.2663756361
354	0.2663144491
355	0.2661668868
356	0.2660548003
357	0.2658302796
358	0.2655540661
359	0.2654604178
360	0.2653932765
361	0.2651760785
362	0.2650519884
363	0.2649153369
364	0.2647315145
365	0.2646822223
366	0.26453646
367	0.2644053204
368	0.2643351312
369	0.2642135242
370	0.2640291459
371	0.2639349594
372	0.26377012
373	0.2636473107
374	0.2635760065
375	0.2634420533
376	0.2633206496
377	0.2632018491
378	0.2630640172
379	0.2629288886
380	0.262709689
381	0.2625677699
382	0.262446809
383	0.2622962704
384	0.2621360226
385	0.2620162684
386	0.2619046997
387	0.2618067713
388	0.2616871801
389	0.2615614337
390	0.2614394428
391	0.2613310294
392	0.2612512123
393	0.2611453369
394	0.2609453582
395	0.2607488842
396	0.2605803351
397	0.2604473752
398	0.260213961
399	0.2600723515
400	0.2599351839
401	0.2598170229
402	0.2597025999
403	0.2596139079
404	0.2595593843
405	0.2593967704
406	0.2593487148
407	0.2591225349
408	0.2590096558
409	0.2588754758
410	0.2586265775
411	0.2585052062
412	0.2584293561
413	0.2582998934
414	0.2581789045
415	0.2580733092
416	0.2579895556
417	0.2579256281
418	0.2578672249
419	0.2577803913
420	0.2576541579
421	0.2576110777
422	0.2574521791
423	0.2573774421
424	0.2572825672
425	0.2571901593
426	0.2570550762
427	0.2569727536
428	0.2568437085
429	0.2566684688
430	0.2565320246
431	0.2563793909
432	0.2562993489
433	0.2561155446
434	0.2560255556
435	0.2559647184
436	0.2558446028
437	0.2557357653
438	0.2556308259
439	0.2555475213
440	0.2554434873
441	0.255370642
442	0.2552340928
443	0.2550834251
444	0.25492971
445	0.2547677271
446	0.2545920703
447	0.2545006296
448	0.2544061589
449	0.2542683898
450	0.2541602067
451	0.2540955498
452	0.2539380335
453	0.2538900105
454	0.2537918601
455	0.2536859075
456	0.2535307533
457	0.2534417878
458	0.2533077085
459	0.2531604492
460	0.2530514227
461	0.2529888034
462	0.2528338519
463	0.2526919938
464	0.2524712392
465	0.2523514095
466	0.2522353053
467	0.2521321523
468	0.2520272032
469	0.2519318923
470	0.2518056694
471	0.2515982612
472	0.251485989
473	0.2513976265
474	0.2512466788
475	0.2511163814
476	0.2510888539
477	0.2509507321
478	0.2508674303
479	0.2507893641
480	0.2507006627
481	0.250588061
482	0.2504816808
483	0.2504180965
484	0.2503123899
485	0.2502531116
486	0.2501562759
487	0.2499977211
488	0.2499177643
489	0.2497784538
490	0.2496825128
491	0.2495648322
492	0.2494905867
493	0.2493988732
494	0.2492444708
495	0.2491161018
496	0.2489933536
497	0.2489037842
498	0.2488465167
499	0.2487411966
500	0.2486691001
501	0.2485620886
502	0.2485235407
503	0.2484245782
504	0.2483346921
505	0.2482487493
506	0.2481226431
507	0.2480018675
